DATE,NASDAQ:AAPL,#REF!,NASDAQ:GOOG,#REF!,NASDAQ:MSFT,#REF!,NASDAQ:TSLA,#REF!,NYSE:GM,#REF!,NYSE:F,#REF!,TSE:TD,,TSE:BNS,,TSE:RY,
1/2/2014 16:00:00,19.75,3/27/2014 16:00:00,27.85,1/2/2014 16:00:00,37.16,1/2/2014 16:00:00,10.01,1/2/2014 16:00:00,40.95,1/2/2014 16:00:00,15.44,1/2/2014 16:00:00,49.44,1/2/2014 16:00:00,66.01,1/2/2014 16:00:00,71.59,
1/3/2014 16:00:00,19.32,3/28/2014 16:00:00,27.92,1/3/2014 16:00:00,36.91,1/3/2014 16:00:00,9.97,1/3/2014 16:00:00,39.57,1/3/2014 16:00:00,15.51,1/3/2014 16:00:00,49.43,1/3/2014 16:00:00,65.46,1/3/2014 16:00:00,71.39,
1/6/2014 16:00:00,19.43,3/31/2014 16:00:00,27.77,1/6/2014 16:00:00,36.13,1/6/2014 16:00:00,9.8,1/6/2014 16:00:00,40.4,1/6/2014 16:00:00,15.58,1/6/2014 16:00:00,49,1/6/2014 16:00:00,64.74,1/6/2014 16:00:00,70.7,
1/7/2014 16:00:00,19.29,4/1/2014 16:00:00,28.28,1/7/2014 16:00:00,36.41,1/7/2014 16:00:00,9.96,1/7/2014 16:00:00,40.2,1/7/2014 16:00:00,15.38,1/7/2014 16:00:00,48.96,1/7/2014 16:00:00,64.48,1/7/2014 16:00:00,70.97,
1/8/2014 16:00:00,19.41,4/2/2014 16:00:00,28.27,1/8/2014 16:00:00,35.76,1/8/2014 16:00:00,10.09,1/8/2014 16:00:00,40.42,1/8/2014 16:00:00,15.54,1/8/2014 16:00:00,49.04,1/8/2014 16:00:00,64.4,1/8/2014 16:00:00,71,
1/9/2014 16:00:00,19.16,4/3/2014 16:00:00,28.41,1/9/2014 16:00:00,35.53,1/9/2014 16:00:00,9.84,1/9/2014 16:00:00,40.49,1/9/2014 16:00:00,15.84,1/9/2014 16:00:00,49.03,1/9/2014 16:00:00,64.51,1/9/2014 16:00:00,71.12,
1/10/2014 16:00:00,19.03,4/4/2014 16:00:00,27.08,1/10/2014 16:00:00,36.04,1/10/2014 16:00:00,9.71,1/10/2014 16:00:00,40.03,1/10/2014 16:00:00,16.07,1/10/2014 16:00:00,48.85,1/10/2014 16:00:00,64.43,1/10/2014 16:00:00,71.18,
1/13/2014 16:00:00,19.13,4/7/2014 16:00:00,26.83,1/13/2014 16:00:00,34.98,1/13/2014 16:00:00,9.29,1/13/2014 16:00:00,39.58,1/13/2014 16:00:00,16.11,1/13/2014 16:00:00,48.9,1/13/2014 16:00:00,64.27,1/13/2014 16:00:00,71.21,
1/14/2014 16:00:00,19.51,4/8/2014 16:00:00,27.67,1/14/2014 16:00:00,35.78,1/14/2014 16:00:00,10.75,1/14/2014 16:00:00,40.02,1/14/2014 16:00:00,16.4,1/14/2014 16:00:00,48.64,1/14/2014 16:00:00,63.68,1/14/2014 16:00:00,70.9,
1/15/2014 16:00:00,19.91,4/9/2014 16:00:00,28.13,1/15/2014 16:00:00,36.76,1/15/2014 16:00:00,10.94,1/15/2014 16:00:00,39.38,1/15/2014 16:00:00,16.7,1/15/2014 16:00:00,48.8,1/15/2014 16:00:00,63.73,1/15/2014 16:00:00,71.06,
